,0,1,2,3,4,5
21,-51.10774127401823,-0.0,-49.33555107232117,-21.169090209084224,-0.0,-19.98333521470067
22,-49.03245685877222,-0.0,-47.24120116881247,-20.718060726598843,-0.0,-19.55331112769179
23,-46.93737914342642,-0.0,-45.13650873423255,-20.25307777767565,-0.0,-19.110264720279943
24,-44.8278918966013,-0.0,-43.027103845204714,-19.773547860034395,-0.0,-18.653650839762303
25,-42.70960863853486,-0.0,-40.918692642742116,-19.278847912868926,-0.0,-18.182897331683325
26,-40.588285466684496,-0.0,-38.81696518637114,-18.768323884912054,-0.0,-17.69740369945407
27,-38.469728166316706,-0.0,-36.72750395450569,-18.24128927233604,-0.0,-17.196539725664188
28,-36.35969730543314,-0.0,-34.655696634528724,-17.697023635684047,-0.0,-16.679644061091132
29,-34.26381516451189,-0.0,-32.60665653045379,-17.134771107615713,-0.0,-16.14602278932305
30,-32.18747821392313,-0.0,-30.585153369686378,-16.55373890633563,-0.0,-15.59494797720488
31,-30.13577844189228,-0.0,-28.595556575004018,-15.953095873236252,-0.0,-15.02565622405463
32,-28.113436201470716,-0.0,-26.641792260084202,-15.331971057614115,-0.0,-14.437347225849301
33,-26.1247464575475,-0.0,-24.72731438669014,-14.689452376407454,-0.0,-13.829182374427358
34,-24.173539457899572,-0.0,-22.855089761312012,-14.024585382857694,-0.0,-13.200283416284506
35,-22.26315600859084,-0.0,-21.027595905057385,-13.33637218492871,-0.0,-12.549731200847564
36,-20.396436775273273,-0.0,-19.246830338735183,-12.623770562339093,-0.0,-11.87656455429989
37,-18.575724410681083,-0.0,-17.514329499894256,-11.885693340287087,-0.0,-11.179779322207485
38,-16.80287685486937,-0.0,-15.83119534565115,-11.121008088480295,-0.0,-10.45832763246611
39,-15.07928987647068,-0.0,-14.198127675647212,-10.328537226009452,-0.0,-9.711117439559398
40,-13.405926809772161,-0.0,-12.615460305552658,-9.50705862598542,-0.0,-8.937012421878856
41,-11.78335346978804,-0.0,-11.083199401481815,-8.655306828698624,-0.0,-8.134832315977592
42,-10.211776364225024,-0.0,-9.601062518255622,-7.771974988298873,-0.0,-7.303353785144477
43,-8.691082533555537,-0.0,-8.168517141895503,-6.855717695466088,-0.0,-6.441311934570686
44,-7.220879606418121,-0.0,-6.7848177965480465,-5.905154836946998,-0.0,-5.5474026015337765
45,-5.800534929915818,-0.0,-5.449041021580691,-4.918876671681929,-0.0,-4.620285566229985
46,-4.429212901683344,-0.0,-4.160117744866428,-3.895450321813681,-0.0,-3.6585888467777057
47,-3.1059098776721417,-0.0,-2.9168627672186958,-2.8334278941305837,-0.0,-2.6609142599314226
